Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
17/01163/HMOADL,119A Botley Road Oxford Oxfordshire,4,,28-Apr-17,27-Apr-18
16/00842/HMOADL,11 Addison Crescent Oxford Oxfordshire OX4 4BD,6,,27-Apr-16,27-Apr-18
16/05176/HMOADL,7 Gipsy Lane Headington Oxford OX3 7PT,5,5,28-Apr-17,27-Apr-18
16/00852/HMOADS,126 Morrell Avenue Oxford Oxfordshire OX4 1LZ,4,,27-Apr-16,27-Apr-18
16/00837/HMOADS,152 Headley Way Oxford Oxfordshire OX3 7SZ,4,,27-Apr-16,27-Apr-18
16/03643/HMOADS,103 Gipsy Lane Oxford Oxfordshire OX3 7PU,4,4,29-Aug-16,28-Apr-18
16/00767/HMOADS,7 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,28-Apr-16,28-Apr-18
16/00827/HMOADS,48 Charles Street Oxford Oxfordshire OX4 3AS,4,4,28-Apr-16,28-Apr-18
17/00428/HMOADL,3 Cummings Close Oxford Oxfordshire OX3 8ND,6,6,29-Apr-17,28-Apr-18
17/00388/HMOLIC,2 Comfrey Road Oxford Oxfordshire OX4 6SP,5,,29-Apr-17,29-Apr-18
17/01093/HMOADL,4 Wilson Place Cave Street Oxford Oxfordshire OX4 1AF,3,,30-Apr-17,29-Apr-18
17/00886/HMOADL,1 Rickyard Close Oxford Oxfordshire OX1 2RE,4,4,30-Apr-17,29-Apr-18
17/00800/HMOADS,40 Rewley Road Oxford Oxfordshire OX1 2RQ,3,3,01-May-17,30-Apr-18
17/00940/HMOADL,159 Dene Road Headington Oxford OX3 7JA,5,5,01-May-17,30-Apr-18
16/00901/HMOADS,34 Henley Street Oxford Oxfordshire OX4 1ES,4,4,30-Apr-16,30-Apr-18
16/05862/HMOADL,6 Wilson Place Cave Street Oxford Oxfordshire OX4 1AF,3,3,30-Apr-17,30-Apr-18
16/00941/HMOLIC,5 Brookfield Crescent Oxford Oxfordshire OX3 0AZ,5,5,01-May-16,01-May-18
15/05473/HMOADS,28 Silver Road Oxford Oxfordshire OX4 3AP,4,,02-May-17,01-May-18
16/01032/HMOADL,172 Botley Road Oxford Oxfordshire OX2 0HW,5,,01-May-16,01-May-18
17/00698/HMOADL,52 Reliance Way Oxford Oxfordshire OX4 2FG,5,5,01-May-17,01-May-18
16/00937/HMOADS,21 Boulter Street Oxford Oxfordshire OX4 1AX,3,3,01-May-16,01-May-18
16/04133/HMOLIC,347 Cowley Road Oxford Oxfordshire OX4 2BP,6,6,01-Oct-16,01-May-18
16/00930/HMOADS,74 Venneit Close Oxford Oxfordshire OX1 1HY,3,,01-May-16,01-May-18
15/05590/HMOADS,16 Tawney Street Oxford Oxfordshire OX4 1NJ,5,,03-May-17,02-May-18
17/00434/HMOADL,Flat Above 58A St Clement's Street Oxford Oxfordshire OX4 1AH,16,,02-Apr-17,02-May-18
17/01070/HMOADL,78 Hugh Allen Crescent Oxford Oxfordshire OX3 0HN,10,10,04-May-17,03-May-18
15/05571/HMOADS,357 Iffley Road Oxford Oxfordshire OX4 4DP,4,,04-May-17,03-May-18
16/04679/HMOADL,14A Broad Street Oxford Oxfordshire OX1 3AS,7,,03-Nov-16,03-May-18
17/01170/HMOLIC,62 Hurst Street Oxford Oxfordshire OX4 1HF,5,5,04-May-17,03-May-18
17/00478/HMOADL,25 East Street Oxford Oxfordshire OX2 0AU,4,,05-May-17,04-May-18
16/03929/HMOADS,11 Kennedy Close Oxford Oxfordshire OX4 2UH,5,,19-Sep-16,04-May-18
16/02521/HMOLIC,43 South Parade Oxford Oxfordshire OX2 7JL,5,5,05-May-17,04-May-18
16/00282/HMOADL,165 Marlborough Road Oxford Oxfordshire OX1 4LY,4,3,05-May-17,04-May-18
16/02523/HMOLIC,42 South Parade Oxford Oxfordshire OX2 7JL,5,5,05-May-17,04-May-18
16/04709/HMOLIC,3 Bears Hedge Oxford Oxfordshire OX4 4JJ,4,,04-Nov-16,04-May-18
17/00562/HMOLIC,14 Meyseys Close Oxford Oxfordshire OX3 7SF,5,,05-May-17,04-May-18
16/05640/HMOADL,20 Ridgefield Road Oxford Oxfordshire OX4 3BT,5,,05-May-17,04-May-18
17/00676/HMOADS,75 East Avenue Oxford Oxfordshire OX4 1XR,4,,05-May-17,04-May-18
17/00996/HMOADS,295B Abingdon Road Oxford Oxfordshire OX1 4TJ,3,,05-May-17,04-May-18
16/03810/HMOADS,9 Sparsey Place Oxford Oxfordshire OX2 8NL,4,,06-Sep-16,06-May-18
16/01230/HMOADL,61 Great Clarendon Street Oxford Oxfordshire OX2 6AX,3,3,06-May-16,06-May-18
16/03317/HMOADL,Flat 3 Lysander Court 184 Cowley Road Oxford Oxfordshire OX4 1UE,5,,08-May-17,07-May-18
16/01422/HMOADS,14 John Snow Place Oxford Oxfordshire OX3 8BB,4,4,07-May-16,07-May-18
17/00653/HMOADS,13 Margaret Road Oxford Oxfordshire OX3 8NJ,4,,08-May-17,07-May-18
16/05600/HMOADL,84 Bennett Crescent Oxford Oxfordshire OX4 2UW,4,,08-May-17,07-May-18
16/03466/HMOADL,83 Divinity Road Oxford Oxfordshire OX4 1LN,5,5,08-May-17,07-May-18
16/01322/HMOADS,152 Hurst Street Oxford Oxfordshire OX4 1HG,3,,07-May-16,07-May-18
16/03843/HMOADS,124A Cowley Road Oxford Oxfordshire OX4 1JE,7,,08-Sep-16,08-May-18
16/01426/HMOLIC,46 Kelburne Road Oxford Oxfordshire OX4 3SH,5,5,08-May-16,08-May-18
16/03307/HMOADS,37 Girdlestone Road Oxford Headington Oxfordshire OX3 7NA,4,4,09-May-17,08-May-18
16/06066/HMOADL,3 Hawkins Street Oxford Oxfordshire OX4 1YD,4,,09-May-17,09-May-18
16/06204/HMOLIC,98 East Avenue Oxford Oxfordshire OX4 1XR,4,,09-May-17,09-May-18
17/00697/HMOADS,Flat 31 Morris House Bennett Crescent Oxford Oxfordshire OX4 2UG,3,,12-May-17,11-May-18
16/01496/HMOLIC,114A Walton Street Oxford Oxfordshire OX2 6AJ,5,5,11-May-16,11-May-18
17/00982/HMOADS,12 West Street Oxford Oxfordshire OX2 0BQ,4,3,12-May-17,11-May-18
16/02953/HMOADS,9 Stockleys Road Oxford Oxfordshire OX3 9RH,4,4,12-May-17,11-May-18
17/00645/HMOADS,14 Lyndworth Close Oxford Oxfordshire OX3 9ER,3,4,12-May-17,11-May-18
16/03342/HMOADS,23 York Road Oxford Oxfordshire OX3 8NR,4,,12-May-17,11-May-18
16/01498/HMOADL,3 Randolph Street Oxford Oxfordshire OX4 1XY,5,5,11-May-16,11-May-18
16/02955/HMOADS,Flat 2 16 Stapleton Road Oxford Oxfordshire OX3 7LU,4,,12-May-17,11-May-18
17/00997/HMOADL,3 Oswestry Road Oxford Oxfordshire OX1 4TL,4,4,12-May-17,11-May-18
16/04452/HMOADL,2 White House Road Oxford Oxfordshire OX1 4NA,4,,12-May-17,11-May-18
16/01449/HMOADS,48 Bailey Road Oxford Oxfordshire OX4 3HY,4,,11-May-16,11-May-18
17/01295/HMOADS,33 Cumberland Road Oxford Oxfordshire OX4 2BZ,4,,13-May-17,12-May-18
16/02980/HMOADL,66 James Street Oxford Oxfordshire OX4 1EX,3,3,13-May-16,13-May-18
16/03996/HMOADS,17 Boswell Road Oxford Oxfordshire OX4 3HW,5,,13-May-16,13-May-18
17/01080/HMOLIC,Flat 5 92 Botley Road Oxford Oxfordshire OX2 0BW,5,5,15-May-17,14-May-18
16/01603/HMOADS,293B Iffley Road Oxford Oxfordshire OX4 4AQ,3,,14-May-16,14-May-18
16/01323/HMOADS,54 Morrell Avenue Oxford Oxfordshire OX4 1ND,4,,14-May-16,14-May-18
17/00999/HMOADL,1 Newton Road Oxford Oxfordshire OX1 4PT,4,4,15-May-17,14-May-18
16/04812/HMOLIC,420 Cowley Road Oxford Oxfordshire OX4 2BX,7,,15-May-17,15-May-18
16/01613/HMOADL,26 Mill Street Oxford Oxfordshire OX2 0AJ,4,4,15-May-16,15-May-18
16/04466/HMOADS,4 Green Street Oxford Oxfordshire OX4 1YB,4,4,15-Oct-16,15-May-18
16/04475/HMOLIC,29 Bullingdon Road Oxford Oxfordshire OX4 1QH,6,6,15-Oct-16,15-May-18
17/00979/HMOADL,33 Southfield Road Oxford Oxfordshire OX4 1NX,6,5,16-May-17,15-May-18
16/05120/HMOADL,3 Mileway Gardens Oxford Oxfordshire OX3 7XH,7,,15-May-17,15-May-18
17/00984/HMOLIC,41 Warwick Street Oxford Oxfordshire OX4 1SZ,5,5,17-May-17,16-May-18
17/02686/HMOADS,15 Cardwell Crescent Oxford Oxfordshire OX3 7QE,4,,16-May-17,16-May-18
17/01083/HMOADS,22 Dorchester Close Oxford Oxfordshire OX3 8SS,4,6,17-May-17,16-May-18
17/01087/HMOADL,166 Kingston Road Oxford OX2 6EG,5,4,17-May-17,16-May-18
17/01084/HMOADL,9 Hodges Court Oxford Oxfordshire OX1 4NY,4,4,17-May-17,16-May-18
17/01090/HMOADS,17 Venneit Close Oxford Oxfordshire OX1 1HZ,3,,18-May-17,17-May-18
16/01644/HMOADS,184 Headley Way Oxford Oxfordshire OX3 7TA,4,,18-May-16,18-May-18
16/04268/HMOADL,1 Pipkin Way Oxford Oxfordshire OX4 4AR,5,4,15-Oct-16,18-May-18
16/01647/HMOADS,55 Hurst Street Oxford Oxfordshire OX4 1HA,4,4,18-May-16,18-May-18
17/00948/HMOADL,31 Randolph Street Oxford Oxfordshire OX4 1XZ,5,5,19-May-17,18-May-18
17/01134/HMOADL,164 Divinity Road Oxford Oxfordshire OX4 1LR,5,,19-May-17,18-May-18
16/01651/HMOADL,Faulkner And Son Lamar House 165 - 167 Botley Road Oxford Oxfordshire OX2 0PB,5,,18-May-16,18-May-18
17/01182/HMOADL,Flat 2 Lysander Court 184 Cowley Road Oxford Oxfordshire OX4 1UE,5,5,20-May-17,19-May-18
16/03939/HMOADL,12 Inott Furze Oxford Oxfordshire OX3 7ES,7,7,20-Sep-16,19-May-18
16/01622/HMOADL,47 Grays Road Oxford Oxfordshire OX3 7PZ,5,,19-May-16,19-May-18
16/01710/HMOADL,43 Ridgefield Road Oxford Oxfordshire OX4 3BU,5,5,19-May-16,19-May-18
16/01621/HMOADS,16 Ridgefield Road Oxford Oxfordshire OX4 3BT,4,4,19-May-16,19-May-18
16/04614/HMOADL,219 Cowley Road Oxford Oxfordshire OX4 1XG,7,,30-Nov-16,20-May-18
16/01526/HMOADL,2 Brock Grove Oxford Oxfordshire OX2 0FD,5,5,13-May-16,20-May-18
16/04422/HMOADL,328 Abingdon Road Oxford Oxfordshire OX1 4TQ,5,,22-May-17,21-May-18
16/01717/HMOADL,89A Kingston Road Oxford Oxfordshire OX2 6RJ,3,3,21-May-16,21-May-18
16/01719/HMOLIC,2 Fairlie Road Oxford OX4 3SW,6,4,21-May-16,21-May-18
16/01721/HMOADS,26 Binsey Lane Oxford Oxfordshire OX2 0EX,4,,21-May-16,21-May-18
16/01731/HMOADL,10 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,21-May-16,21-May-18
16/01559/HMOADL,7 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,5,,21-May-16,21-May-18
16/01424/HMOADL,32 Beechey Avenue Oxford Marston Oxfordshire OX3 0JU,5,5,21-May-16,21-May-18
16/01720/HMOLIC,165A Kingston Road Oxford Oxfordshire OX2 6EG,4,,21-May-16,21-May-18
16/05302/HMOADS,2 Stanley Road Oxford Oxfordshire OX4 1QZ,5,,22-Dec-16,22-May-18
17/01190/HMOADL,9 Salegate Lane Oxford Oxfordshire OX4 2HQ,4,4,23-May-17,22-May-18
17/01136/HMOADL,5 Wharton Road Oxford Oxfordshire OX3 8AH,5,5,23-May-17,22-May-18
16/01557/HMOADS,First Floor Flat 103 Iffley Road Oxford Oxfordshire OX4 1EH,4,4,22-May-16,22-May-18
17/00815/HMOLIC,23 Rectory Road Oxford Oxfordshire OX4 1BU,5,5,24-May-17,23-May-18
17/04296/HMOADL,The Annexe Madina Mosque 2 Stanley Road Oxford Oxfordshire OX4 1QZ,7,,24-May-17,23-May-18
17/01500/HMOLIC,92 Morrell Avenue Oxford Oxfordshire OX4 1NA,5,5,24-May-17,23-May-18
17/01121/HMOADL,115 Reliance Way Oxford Oxfordshire OX4 2FW,4,,24-May-17,23-May-18
16/03680/HMOADL,2 Fern Hill Road Oxford Oxfordshire OX4 2JN,5,,24-May-17,23-May-18
17/01141/HMOADL,50 Abbey Road Oxford Oxfordshire OX2 0AG,4,4,25-May-17,24-May-18
16/01695/HMOADS,198 Divinity Road Oxford Oxfordshire OX4 1LS,4,,24-May-16,24-May-18
17/01203/HMOADS,5 Belvedere Road Oxford Oxfordshire OX4 2AZ,4,,25-May-17,24-May-18
16/04558/HMOLIC,9 Southfield Road Oxford Oxfordshire OX4 1NX,7,,24-Oct-16,24-May-18
17/00883/HMOADS,5 Edgeway Road Oxford Oxfordshire OX3 0HD,3,,25-May-17,24-May-18
17/00134/HMOADS,24 Adelaide Street Oxford Oxfordshire OX2 6EN,3,,25-May-17,24-May-18
16/04559/HMOADS,3 Sunnyside Oxford Oxfordshire OX4 2NW,4,3,24-Oct-16,24-May-18
17/00814/HMOLIC,69A St Clements Street Oxford Oxfordshire OX4 1AH,5,5,26-May-17,25-May-18
16/01795/HMOADL,314 Banbury Road Oxford Oxfordshire OX2 7ED,6,6,25-May-16,25-May-18
16/01539/HMOLIC,18 Crown Street Oxford OX4 1QG,5,5,26-May-16,26-May-18
17/01082/HMOADL,149 Reliance Way Oxford Oxfordshire OX4 2FW,3,,27-May-17,26-May-18
16/04034/HMOLIC,49 Bullingdon Road Oxford Oxfordshire OX4 1QJ,5,5,26-Sep-16,26-May-18
16/04029/HMOLIC,59 Charles Street Oxford Oxfordshire OX4 3AU,5,5,26-Sep-16,26-May-18
17/01157/HMOLIC,15 Essex Street Oxford Oxfordshire OX4 3AW,6,,27-May-17,26-May-18
16/01827/HMOADS,46 Morrell Avenue Oxford Oxfordshire OX4 1ND,4,4,27-May-16,27-May-18
17/01024/HMOLIC,13 James Street Oxford Oxfordshire OX4 1ET,8,,28-May-17,27-May-18
16/01826/HMOADL,11A Littlemore Road Oxford Oxfordshire OX4 3ST,5,,27-May-16,27-May-18
17/01187/HMOADS,61 Percy Street Oxford Oxfordshire OX4 3AF,4,4,29-May-17,28-May-18
16/01848/HMOADS,63 Venneit Close Oxford Oxfordshire OX1 1HY,3,,28-May-16,28-May-18
16/01860/HMOADL,101 Iffley Road Oxford OX4 1EG,7,7,28-May-16,28-May-18
16/01854/HMOADS,3A Harcourt Terrace Oxford Oxfordshire OX3 7QF,3,3,28-May-16,28-May-18
16/04625/HMOADL,284 Cowley Road Oxford Oxfordshire OX4 1UR,4,,28-Oct-16,28-May-18
16/05359/HMOADS,21 Cranham Terrace Oxford Oxfordshire,3,,30-May-17,29-May-18
16/05131/HMOADS,38 Juxon Street Oxford Oxfordshire OX2 6DJ,4,,30-May-17,29-May-18
17/00823/HMOLIC,207A Banbury Road Oxford Oxfordshire OX2 7HQ,5,5,31-May-17,30-May-18
17/01180/HMOLIC,34 Horwood Close Oxford Headington Oxfordshire OX3 7RF,6,6,31-May-17,30-May-18
16/03567/HMOLIC,19 Cowley Road Oxford Oxfordshire OX4 1HP,6,,31-May-17,30-May-18
17/01245/HMOADL,22 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,,31-May-17,30-May-18
16/04613/HMOADL,70A St Clement's Street Oxford Oxfordshire OX4 1AH,4,,30-Nov-16,30-May-18
16/04096/HMOADL,22 Bulan Road Oxford Oxfordshire OX3 7HT,5,,30-Sep-16,30-May-18
17/01173/HMOLIC,1 Horwood Close Oxford Oxfordshire OX3 7RF,6,6,31-May-17,30-May-18
16/03298/HMOLIC,86 Botley Road Oxford Oxfordshire OX2 0BX,6,6,31-May-17,30-May-18
17/01178/HMOLIC,32 Horwood Close Oxford Oxfordshire OX3 7RF,6,6,31-May-17,30-May-18
16/01851/HMOADS,6 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,31-May-17,30-May-18
17/01091/HMOADS,25 Venneit Close Oxford Oxfordshire OX1 1HZ,3,,31-May-17,30-May-18
16/04097/HMOLIC,88 Islip Road Oxford Oxfordshire OX2 7SW,5,5,30-Sep-16,30-May-18
15/01137/HMOADL,51 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,5,01-Jun-17,31-May-18
16/05045/HMOADS,65 Copse Lane Oxford Oxfordshire OX3 0AT,4,,01-Dec-16,01-Jun-18
16/04669/HMOADL,70 Divinity Road Oxford Oxfordshire OX4 1LJ,4,4,01-Nov-16,01-Jun-18
17/01278/HMOADL,20 Hodges Court Oxford Oxfordshire OX1 4NY,4,4,02-Jun-17,01-Jun-18
17/01129/HMOADL,22 Cardwell Crescent Oxford Oxfordshire OX3 7QE,6,6,03-Jun-17,02-Jun-18
16/01887/HMOADS,43 Mill Street Oxford Oxfordshire OX2 0AL,4,4,02-Jun-16,02-Jun-18
16/03692/HMOADL,27 Gipsy Lane Oxford Headington Oxfordshire OX3 7PT,5,5,02-Sep-16,02-Jun-18
16/01899/HMOADS,15 Gordon Street Oxford Oxfordshire OX1 4RJ,4,,02-Jun-16,02-Jun-18
16/01841/HMOADL,327 Cowley Road Oxford Oxfordshire OX4 2AQ,5,5,02-Jun-16,02-Jun-18
17/01389/HMOADS,2 Hillsborough Road Oxford Oxfordshire OX4 3SL,4,,03-Jun-17,02-Jun-18
16/01905/HMOADS,103 Leiden Road Oxford Oxfordshire OX3 8QX,4,,02-Jun-16,02-Jun-18
16/02457/HMOLIC,291B Iffley Road Oxford Oxfordshire OX4 4AQ,3,3,03-Jun-16,03-Jun-18
16/01915/HMOADL,37 Harcourt Terrace Oxford Oxfordshire OX3 7QF,6,6,03-Jun-16,03-Jun-18
17/01281/HMOADS,101 The Slade Oxford Oxfordshire OX3 7HW,4,3,04-Jun-17,03-Jun-18
16/05264/HMOLIC,69 Iffley Road Oxford Oxfordshire OX4 1EF,6,6,03-Nov-16,03-Jun-18
16/01923/HMOADL,1 Harefields Oxford Oxfordshire OX2 8HG,4,3,03-Jun-16,03-Jun-18
16/01921/HMOADL,1 Reliance Way Oxford Oxfordshire OX4 2FU,5,,03-Jun-16,03-Jun-18
16/01551/HMOADS,25 Howard Street Oxford Oxfordshire OX4 3AY,3,3,03-Jun-16,03-Jun-18
16/04673/HMOADL,22 Cranmer Road Oxford Oxfordshire OX4 2QE,6,6,03-Nov-16,03-Jun-18
17/02425/HMOADS,21 Hill View Road Oxford Oxfordshire OX2 0DA,4,4,02-Jun-17,03-Jun-18
17/01120/HMOLIC,6 Temple Street Oxford Oxfordshire OX4 1JS,5,5,05-Jun-17,04-Jun-18
16/04733/HMOLIC,56 Magdalen Road Oxford Oxfordshire OX4 1RB,6,6,04-Nov-16,04-Jun-18
16/04739/HMOADL,59 St Clement's Street Oxford Oxfordshire OX4 1AH,4,4,04-Nov-16,04-Jun-18
16/04740/HMOADS,9 Barrington Close Oxford Oxfordshire OX3 7AX,4,4,04-Nov-16,04-Jun-18
16/02146/HMOADS,The Flat 40 Cowley Road Oxford Oxfordshire OX4 1HP,3,,04-Jun-16,04-Jun-18
17/01308/HMOADL,21 Oswestry Road Oxford Oxfordshire OX1 4TL,5,5,05-Jun-17,04-Jun-18
16/02132/HMOADS,10 Charles Street Oxford Oxfordshire OX4 3AS,4,4,04-Jun-16,04-Jun-18
17/01138/HMOADL,5 Downside End Oxford Oxfordshire OX3 8JF,5,,06-Jun-17,05-Jun-18
17/01323/HMOADL,29 Lodge Close Oxford Oxfordshire OX3 0QP,4,4,06-Jun-17,05-Jun-18
16/05447/HMOADL,83 St Mary's Road Oxford Oxfordshire OX4 1QD,6,5,05-Jan-17,05-Jun-18
16/02154/HMOADS,18 Bracegirdle Road Oxford Oxfordshire OX3 8RJ,4,,05-Jun-16,05-Jun-18
16/01961/HMOADL,3 Morris Crescent Oxford Oxfordshire OX4 3ED,7,3,06-Jun-16,06-Jun-18
16/01963/HMOADL,82 Valentia Road Oxford Oxfordshire OX3 7PW,6,6,06-Jun-16,06-Jun-18
16/05073/HMOADS,136 Howard Street Oxford Oxfordshire OX4 3BG,4,4,06-Dec-16,06-Jun-18
17/01542/HMOLIC,79 Harefields Oxford Oxfordshire OX2 8NR,10,10,08-Jun-17,07-Jun-18
16/04934/HMOLIC,63 - 64 St Bernard's Road Oxford Oxfordshire,12,,20-Nov-16,07-Jun-18
16/03678/HMOADS,83 Oliver Road Oxford Oxfordshire OX4 2JH,4,4,08-Jun-17,07-Jun-18
17/01350/HMOADL,66 Vicarage Road Oxford Oxfordshire OX1 4RE,4,,08-Jun-17,07-Jun-18
17/01263/HMOADS,98 Bullingdon Road Oxford Oxfordshire OX4 1QN,5,,08-Jun-17,07-Jun-18
16/02191/HMOADS,8 Holland Place Oxford Oxfordshire OX3 8QT,4,,08-Jun-16,08-Jun-18
17/01325/HMOADS,64 Friars Wharf Oxford Oxfordshire OX1 1RU,4,,10-Jun-17,09-Jun-18
17/01285/HMOADS,69 Percy Street Oxford Oxfordshire OX4 3AF,4,4,10-Jun-17,09-Jun-18
17/01318/HMOADS,180 Headley Way Oxford Oxfordshire OX3 7SZ,4,,11-Jun-17,10-Jun-18
17/01300/HMOADS,224A Cowley Road Oxford Oxfordshire OX4 1UH,4,4,11-Jun-17,10-Jun-18
17/01287/HMOADS,79 Nuffield Road Oxford Oxfordshire OX3 8RH,4,,11-Jun-17,10-Jun-18
16/02216/HMOADL,125 Fern Hill Road Oxford Oxfordshire OX4 2JR,6,,10-Jun-16,10-Jun-18
16/02245/HMOADS,9 Crown Street Oxford Oxfordshire OX4 1QG,4,4,10-Jun-16,10-Jun-18
16/02260/HMOADS,35 Bartlemas Road Oxford Oxfordshire OX4 1XU,4,4,10-Jun-16,10-Jun-18
16/04785/HMOADS,11 George Moore Close Oxford Oxfordshire OX4 4BZ,4,,10-Nov-16,10-Jun-18
16/02290/HMOADL,4 Princes Street Oxford Oxfordshire OX4 1DD,5,5,11-Jun-16,11-Jun-18
16/04644/HMOADS,2 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,,12-Jun-17,11-Jun-18
16/02218/HMOADS,19 Headley Way Oxford Oxfordshire OX3 0LR,4,4,11-Jun-16,11-Jun-18
16/05172/HMOADL,93 East Avenue Oxford Oxfordshire OX4 1XR,6,6,11-Dec-16,11-Jun-18
16/04793/HMOADL,59 Southfield Road Oxford OX4 1NX,5,5,11-Nov-16,11-Jun-18
16/05170/HMOADL,39 Clive Road Oxford Oxfordshire OX4 3EL,5,,11-Dec-16,11-Jun-18
17/01385/HMOLIC,1 Glebe Street Oxford OX4 1DQ,6,5,13-Jun-17,12-Jun-18
17/00939/HMOADS,60 Lime Walk Oxford Oxfordshire OX3 7AE,4,2,13-Jun-17,12-Jun-18
16/02319/HMOADS,41C New High Street Oxford Oxfordshire OX3 7AL,4,4,12-Jun-16,12-Jun-18
16/02348/HMOADL,41 Rivermead Road Oxford Oxfordshire OX4 4UE,6,,13-Jun-16,12-Jun-18
16/03515/HMOLIC,231 Cowley Road Oxford Oxford OX4 1XG,16,16,14-Jun-17,13-Jun-18
16/03982/HMOLIC,54 Abingdon Road Oxford Oxfordshire OX1 4PE,6,6,14-Jun-17,13-Jun-18
16/03730/HMOLIC,23 Fairacres Road Oxford Oxfordshire OX4 1TH,5,5,14-Jun-17,13-Jun-18
16/02464/HMOADS,42 Littlemore Road Oxford Oxfordshire OX4 3SU,4,,15-Jun-16,14-Jun-18
17/00620/HMOLIC,10 Norreys Avenue Oxford Oxfordshire OX1 4SS,5,,15-Jun-17,14-Jun-18
16/03097/HMOLIC,21 Bannister Close Oxford Oxfordshire OX4 1SH,5,5,14-Jul-16,15-Jun-18
17/00835/HMOADL,12 Bulan Road Oxford Oxfordshire OX3 7HT,5,,16-Jun-17,15-Jun-18
17/01582/HMOADS,191 Howard Street Oxford Oxfordshire OX4 3BB,6,3,16-Jun-17,15-Jun-18
17/01583/HMOADS,187A Howard Street Oxford Oxfordshire OX4 3BB,5,,16-Jun-17,15-Jun-18
17/01584/HMOADS,192 Howard Street Oxford Oxfordshire,8,4,16-Jun-17,15-Jun-18
17/02293/HMOADS,189 Howard Street Oxford Oxfordshire OX4 3BB,9,,16-Jun-17,15-Jun-18
17/01326/HMOLIC,52 Abingdon Road Oxford Oxfordshire OX1 4PE,7,7,16-Jun-17,15-Jun-18
17/01586/HMOADS,190 Howard Street Oxford OX4 3BQ,8,4,16-Jun-17,15-Jun-18
17/01078/HMOADL,35 Milton Road Oxford Oxfordshire OX4 3EF,5,5,17-Jun-17,16-Jun-18
16/02455/HMOADS,30 Cricket Road Oxford Oxfordshire OX4 3DG,4,4,17-Jun-16,16-Jun-18
17/01352/HMOADL,200 London Road Headington Oxford Oxfordshire OX3 9EE,6,6,17-Jun-17,16-Jun-18
16/01627/HMOLIC,154 Headley Way Oxford Oxfordshire OX3 7SZ,6,6,16-Jun-16,16-Jun-18
16/02428/HMOADS,149 Morrell Avenue Oxford Oxfordshire OX4 1NG,4,,17-Jun-16,17-Jun-18
16/04836/HMOADL,107 Howard Street Oxford Oxfordshire OX4 3AZ,5,,17-Nov-16,17-Jun-18
16/02419/HMOADS,45 Hendred Street Oxford Oxfordshire OX4 2EE,4,4,17-Jun-16,17-Jun-18
17/01322/HMOADL,14 York Road Oxford Oxfordshire OX3 8NW,5,,19-Jun-17,18-Jun-18
16/05304/HMOADL,20 Hill Top Road Oxford Oxfordshire OX4 1PE,6,,19-Jun-17,18-Jun-18
16/02414/HMOADS,111 Valentia Road Oxford Oxfordshire OX3 7PP,4,4,18-Jun-16,18-Jun-18
16/04860/HMOADS,1 Mileway Gardens Oxford Oxfordshire OX3 7XH,6,3,19-Nov-16,19-Jun-18
16/02345/HMOADL,49 Stanley Road Oxford Oxfordshire OX4 1QY,4,4,20-Jun-16,19-Jun-18
17/01926/HMOADS,95 Ridgefield Road Oxford Oxfordshire OX4 3BY,5,,20-Jun-17,19-Jun-18
16/04879/HMOADS,45 Cricket Road Oxford Oxfordshire OX4 3DH,4,4,19-Nov-16,19-Jun-18
16/04904/HMOADS,25 Charles Street Oxford Oxfordshire OX4 3AU,4,4,19-Nov-16,19-Jun-18
16/04937/HMOADS,24 Jeune Street Oxford Oxfordshire OX4 1BN,4,,20-Nov-16,20-Jun-18
17/01355/HMOADS,16 Old High Street Oxford Oxfordshire OX3 9HN,4,5,21-Jun-17,20-Jun-18
17/02141/HMOADL,8 Coolidge Close Oxford Oxfordshire OX3 7NP,5,5,20-Jun-17,21-Jun-18
17/01449/HMOLIC,75 Hurst Street Oxford Oxfordshire OX4 1HA,5,,22-Jun-17,21-Jun-18
17/05311/HMOADS,23 Weldon Road Oxford Oxfordshire OX3 0HP,4,,23-Jun-17,22-Jun-18
17/01775/HMOADL,3 Henley Avenue Oxford Oxfordshire OX4 4DH,5,,23-Jun-17,22-Jun-18
17/01471/HMOLIC,110 Marlborough Road Oxford Oxfordshire OX1 4LS,5,,23-Jun-17,22-Jun-18
17/01515/HMOLIC,11 Chatham Road Oxford Oxfordshire OX1 4UZ,8,,21-Jun-17,22-Jun-18
17/01450/HMOADS,24 Divinity Road Oxford Oxfordshire OX4 1LJ,7,,23-Jun-17,22-Jun-18
17/01374/HMOADS,73 East Avenue Oxford Oxfordshire OX4 1XR,4,,24-Jun-17,23-Jun-18
17/01279/HMOLIC,86 Percy Street Oxford Oxfordshire OX4 3AD,5,,24-Jun-17,23-Jun-18
17/01501/HMOADS,23 Oxford Road Cowley Oxford Oxfordshire OX4 2EN,5,5,24-Jun-17,23-Jun-18
